Dige,Digə
sgal,şğal
ndad,ndad
Yeqi,Yəqi
eqin,əqin
ldik,ldik
isir,isir
ismi,ismi
smir,şmır
2005,2005
005-,005-
05-c,05-c
okty,okty
ktya,ktya
tyab,tyab
musd,muşd
2000,2000
000-,000-
00-c,00-c
lden,ldən
Kohn,Köhn
ohne,öhnə
terf,terf
rfey,rfey
feys,feys
tema,təma
emam,əmam
mami,mamı
kans,kans
nsiz,nsız
aile,ailə
resp,resp
ikam,ikam
kami,kamı
gunl,günl
unle,ünlə
sovq,sövq
ovqa,ovqa
vqat,vqat
catd,çatd
xerc,xərc
ercl,ərcl
rcle,rclə
yyed,yyəd
yede,yədə
ndik,ndik
menf,mənf
enfe,ənfə
nfee,nfəə
feet,fəət
azal,azal
zala,zala
ceha,cəha
hale,halə
yumd,yumd
amma,amma
yerd,yerd
tovb,tövb
ayid,ayıd
yida,yıda
yer-,yer-
er-g,ər-g
r-go,r-gö
-goy,-göy
dagi,dağı
gils,ğıls
ilsa,ılsa
toyu,toyu
oyum,öyüm
iyik,iyik
Cula,Çula
buru,bürü
unen,ünən
agsa,ağsa
gsaq,ğsaq
saqq,saqq
aqqa,aqqa
qqal,qqal
qall,qall
uzus,üzüs
zust,züst
yere,yerə
qapa,qapa
apan,apan
pand,pand
tdim,tdim
zehm,zəhm
hmli,hmli
Xuda,Xuda
udav,udav
dave,davə
aven,avən
vend,vənd
ecin,əçin
cini,çini
cund,çünd
Mesi,Məsi
esih,əsih
vehy,vəhy
iyed,iyəd
usud,usud
sudu,sudu
Gund,Günd
duzu,düzü
oyug,oyuğ
yugu,yuğu
yuxu,yuxu
uxum,uxum
gozu,gözü
zumd,zümd
umde,ümdə
mden,mdən
kule,külə
Nece,Necə
mexl,məxl
exlu,əxlu
xluq,xluq
luqa,luqa
uqat,uqat
qatd,qatd
usah,üşah
hide,hidə
erib,erib
ipek,ipək
koyn,köyn
oyne,öynə
ynek,ynək
nekl,nəkl
emur,əmur
murl,murl
ayim,ayım
edda,ədda
ddar,ddar
simi,simi
imic,imic
soru,soru
orus,örüş
rusd,ruşd
sduq,şduq
Akti,Akti
Olub,Olub
yime,yimə
nira,nıra
zimi,zımi
ezec,əzəc
zece,zəcə
mete,mətə
Cebh,Cəbh
ebhe,əbhə
bhec,bhəç
heci,həci
Resa,Rəşa
Irec,İrəc
recs,rəcs
ecso,əcso
csoy,csoy
soya,soya
Sizd,Sizd
olub,olub
peyg,peyğ
eyge,eyğə
ygem,yğəm
gemb,ğəmb
embe,əmbə
mber,mbər
lerm,lərm
ermi,ermi
Ugul,Uğul
guld,ğuld
ulda,ulda
ldas,ldaş
siye,siyə
iyer,iyer
ses-,səs-
es-s,əs-s
s-se,s-sə
-ses,-səs
sese,səsə
tavu,tavu
avux,avux
vux-,vux-
ux-c,ux-ç
x-cu,x-çu
-cuc,-çuç
cucu,çuçu
cull,çull
esiy,əsiy
zun-,zun-
un-u,un-u
n-uz,n-uz
-uza,-uza
uzad,uzad
zadi,zadı
mal-,mal-
al-q,al-q
l-qa,l-qa
-qar,-qar
Ayaq,Ayaq
izme,izmə
yidi,yıdı
cora,cora
orab,orab
rabi,rabi
tili,tili
izol,izol
zole,zolə
olet,olet
letm,lətm
xass,xass
asse,aşşe
ssel,ssəl
Mene,Mənə
kino,kino
inoy,inoy
xira,xıra
ione,ione
oner,oner
nerl,nerl
usya,üsya
syan,syan
yanc,yanç
anci,ançı
oyur,oyur
yurl,yurl
Serh,Şərh
2018,2018
11:0,11:0
1:02,1:02
Krem,Krem
reml,reml
Irev,İrəv
reva,rəva
evan,evan
sixi,sıxı
xisd,xışd
Yeru,Yeru
erus,erus
ruse,rusə
usel,usəl
seli,səli
limd,limd
nind,nınd
eyan,əyan
Duru,Duru
qaca,qaça
yoxs,yoxs
Avsa,Avşa
vsal,vşal
salo,şalo
alom,alom
omun,omun
urtu,urtu
rtul,rtul
lmez,lməz
Yazi,Yazı
azin,azın
xarm,xarm
rman,rman
arxe,arxe
rxeo,rxeo
xeol,xeol
eolo,eolo
ebli,əbli
blil,blil
semi,semi
mina,mina
Dokt,Dokt
okto,okto
tora,tora
oran,oran
rant,rant
antu,antu
ntur,ntur
uray,uray
raya,raya
Baka,Baka
akal,akal
kala,kala
alav,alav
lavr,lavr
gist,gist
ratu,ratu
atur,atur
Susa,Şuşa
usan,usan
nyay,nyay
yaya,yaya
anit,anit
nitd,nıtd
iran,ıran
xadi,xadi
diml,dıml
vard,vard
Ilki,İlki
lkin,lkin
ucot,uçot
rild,rild
zeli,zəli
elis,əliş
lisl,lişl
ehti,ehti
iyac,iyac
qalm,qalm
alma,alma
lmam,lmam
Memm,Məmm
mmed,mməd
medq,mədq
edqu,ədqu
dqul,dqul
uluz,uluz
luza,luza
zade,zadə
Omer,Ömər
Faiq,Faiq
Isma,İsma
smay,smay
yilo,yılo
heds,həds
edsi,ədsi
dsiz,dsiz
018-,018-
18-c,18-c
10.0,10.0
0.00,0.00
Semk,Şəmk
emki,əmki
mkir,mkir
Sera,Şəra
ehmd,əhmd
hmda,hmda
mdar,mdar
ginc,ğınc
inca,ınca
ncag,ncağ
cagi,cağı
uyud,uyud
yudu,yudu
Nada,Nada
adav,adav
qdak,qdak
siel,şiəl
iele,iələ
Iran,İran
sunn,sünn
unni,ünni
nnil,nnil
Seud,Səud
eudi,əudi
udiy,udiy
rebi,rəbi
ebis,əbis
bist,bist
klen,klən
orda,orda
uzaq,uzaq
zaqd,zaqd
gurs,ğurs
rsuz,rsuz
Dill,Dill
emas,əmas
yisk,yişk
iske,işkə
iced,icəd
cedi,cədi
etno,etno
tnos,tnos
nosl,nosl
osla,osla
aqen,aqən
qeni,qəni
bila,bila
ilav,ilav
uren,ürən
axim,axım
ximd,xımd
Ingi,İngi
ngil,ngil
metb,mətb
fenn,fənn
enni,ənni
lerk,lərk
coxs,çoxs
xsax,xşax
saxe,şaxə
axel,axəl
xeli,xəli
reng,rəng
enga,ənga
ngar,ngar
gare,garə
aren,arən
ksik,ksik
mexs,məxs
exsu,əxsu
xsus,xsus
sehi,səhi
ehif,əhif
hife,hifə
ifel,ifəl
fele,fələ
lene,lənə
enen,ənən
zeng,zəng
engi,əngi
ngin,ngin
ginl,ginl
nles,nləş
luge,lüğə
uget,üğət
terk,tərk
erki,ərki
rkib,rkib
kibi,kibi
apir,apır
onad,onad
nade,nadə
adek,adək
otaq,otaq
taqd,taqd
ixib,ıxıb
rzus,rzus
Moll,Moll
Ziny,Ziny
inye,inye
nyet,nyət
Mohs,Möhs
ohsu,öhsü
hsun,hsün
usaq,uşaq
saql,şaql
klub,klub
lubd,lubd
turd,türd
rdum,rdüm
Sure,Sürə
kbps,kbps
teng,təng
enge,əngə
nge-,nge-
ge-d,ge-d
e-di,ə-di
-dir,-dir
aria,aria
rian,rian
iant,iant
anti,antı
rias,rias
iasi,iaşi
olcu,ölçü
lcul,lçül
cule,çülə
fliy,fliy
Herb,Hərb
risc,rişç
vvey,vvəy
veye,vəyə
minm,minm
hokm,hökm
okml,ökml
kmle,kmlə
karg,karg
argu,argü
rguz,rgüz
guza,güza
uzar,üzar
zarl,zarl
ehku,əhku
hkum,hkum
kumu,kumu
asad,aşad
issa,issa
ssar,ssar
sarl,sarl
imza,imza
mzal,mzal
gerb,gerb
erbl,ərbl
rbli,rbli
mohu,möhü
ohur,öhür
qlen,qlən
enmi,ənmi
gond,gönd
onde,öndə
nder,ndər
deri,dəri
nomr,nömr
omre,ömrə
mrel,mrəl
arac,arac
raca,raca
caqm,caqm
aqmi,aqmı
Ata-,Ata-
nana,nana
Atas,Atas
soye,söyə
oyen,öyən
Sexs,Şəxs
Bizn,Bizn
izne,izne
znes,znes
kart,kart
dirs,dirs
rtif,rtif
tifi,tifi
ikat,ikat
katl,katl
Elek,Elek
atom,atom
mole,mole
olek,olek
leku,leku
ekul,ekul
kull,küll
here,hərə
cans,cans
alem,aləm
lemd,ləmd
emde,əmdə
mdek,mdək
anal,anal
nalo,nalo
aloj,aloj
loji,loji
Babi,Babi
abil,abil
rpag,rpağ
pagi,pağı
Rivl,Rivl
ivla,ivla
lada,lada
durd,dürd
norm,norm
suda,suda
umur,umur
murt,murt
sire,sirə
soga,soğa
ganl,ğanl
qayn,qayn
ayna,ayna
ynad,ynad
nadi,nadı
siri,siri
Sira,Sira
irab,irab
Isve,İsve
svec,sveç
vecr,veçr
ecre,eçrə
cren,çrən
reni,rəni
Cene,Cene
enev,ənəv
nevr,nevr
evre,evrə
nesd,nəşd
esde,əsdə
Yuks,Yüks
Keyf,Keyf
Qizi,Qızı
meda,meda
ulub,ulub
Icin,İçin
zara,zara
uzum,üzüm
zums,züms
umsi,ümsı
msix,msıx
sixa,sıxa
ixan,ıxan
zelt,zəlt
eltd,əltd
ltdi,ltdi
ulle,üllə
tikd,tikd
Itti,İtti
ttif,ttif
ifaq,ifaq
faqi,faqı
aqin,aqın
seck,seçk
ecki,eçki
ckil,çkil
uzvu,üzvü
zvun,zvün
vunu,vünü
mesu,məsu
esul,əsul
suli,suli
icla,icla
hemk,həmk
emka,əmka
mkar,mkar
Sizi,Sizi
xore,xore
oreo,oreo
reoq,reoq
eoqr,eoqr
afiy,afiy
fiya,fiya
gork,görk
rkem,rkəm
keml,kəml
emli,əmli
numa,nüma
umay,ümay
maye,mayə
ayen,ayən
yend,yənd
ndes,ndəs
yubi,yubi
ubil,ubil
iley,iley
emim,əmim
mimi,mimi
qelb,qəlb
elbd,əlbd
lbde,lbdə
tebr,təbr
ebri,əbri
brik,brik
6-si,6-sı
2003,2003
003-,003-
03-c,03-c
"230,","230,"
"30,0","30,0"
"0,00","0,00"
",000",",000"
Neft,Neft
eftc,eftç
ftci,ftçi
rosp,rosp
ospe,ospe
ktin,ktin
taks,taks
xlad,xlad
Yaqu,Yaqu
aqub,aqub
sdig,şdığ
sutu,sütu
tune,tünə
icme,içmə
dimi,dimi
sepd,səpd
epdi,əpdi
zeyt,zeyt
eytu,eytu
ytun,ytun
yagi,yağı
tokd,tökd
okdu,ökdü
Kull,Küll
ulli,ülli
lli-,lli-
li-I,li-İ
i-Ix,i-İx
-Ixt,-İxt
Ixti,İxti
asim,aşım
usib,üsib
tird,tird
niye,niyə
Naom,Naom
aomi,aomi
rirs,rirs
irsi,irsi
leli,ləli
oavl,oavl
avli,avlı
Rutl,Rutl
utla,utla
geri,geri
yitd,yıtd
Sele,Sele
lect,lect
Abba,Abba
bbas,bbas
basz,basz
asza,asza
szad,szad
Abas,Abas
fami,fami
mili,mili
liya,liya
fars,fars
nsel,nşəl
zund,zünd
dend,dənd
kilc,kilç
ilci,ilçi
Gork,Görk
dilc,dilç
lci-,lçi-
ci-a,cı-a
i-al,i-al
-ali,-ali
alim,alim
Veys,Veys
eyse,eysə
ysel,ysəl
sell,səll
llin,llin
surd,sürd
rduy,rdüy
duyu,düyü
Xoca,Xoca
ocal,ocal
fevr,fevr
evra,evra
vral,vral
25-d,25-d
5-de,5-də
23-d,23-d
3-de,3-də
-den,-dən
ates,atəş
slan,slan
Qohu,Qohu
ohum,ohum
hum-,hum-
um-q,um-q
m-qa,m-qa
qard,qard
rdas,rdaş
evim,evim
viml,viml
mlis,mlis
rsan,rsan
Imta,İmta
hanl,hanl
pozu,pozu
ozul,ozul
nars,nars
raha,raha
lana,lana
turs,turş
rsud,rşud
xett,xətt
meto,meto
etod,etod
todu,todu
blan,blan
Levi,Levi
evil,evil
vili,vili
ilil,ilil
heyv,heyv
eyva,eyva
yvan,yvan
vanl,vanl
Qada,Qada
adag,adağ
daga,dağa
agan,ağan
prep,prep
repa,repa
arat,arat
ratl,ratl
manc,manç
tems,təms
emsi,əmsi
msil,msil
ndug,nduğ
fede,fədə
dera,dera
eras,eras
iyay,iyay
leke,ləkə
Pols,Polş
olsa,olsa
lsan,lsan
Vist,Vist
istu,istu
stul,stül
univ,univ
slad,şlad
Musa,Musa
iddi,iddi
ddia,ddia
diac,diaç
iaci,iaçı
Efra,Efra
fray,fray
rayi,rayı
gliq,ğlıq
Mike,Mike
ikey,ikey
keya,keya
vine,vinə
ledi,lədi
ratm,ratm
yild,yild
dost,dost
ostl,ostl
stla,stla
Adil,Adil
sdin,şdin
dins,dıns
musk,müşk
usku,üşkü
skul,şkül
emiq,əmiq
miqa,miqa
iqay,iqay
yirm,yirm
rund,rund
lcil,lçil
nisb,nisb
isbi,isbi
dive,dive
rsif,rsif
sifi,sifi
ekde,əkdə
payi,payı
artm,artm
rtma,rtma
esto,esto
stor,stor
olay,olay
orem,örəm
reme,rəmə
sesv,səsv
esve,əsve
sver,sver
aizi,aizi
ekol,ekol
oloj,oloj
uriz,uriz
rizm,rizm
heve,həvə
eves,əvəs
vesk,vəsk
eska,əska
skar,şkar
cenn,cənn
enne,ənnə
nnet,nnət
meka,məka
kand,kand
firm,firm
zard,zard
term,tərm
line,linə
edef,ədəf
sece,şəcə
ucus,uçuş
cusu,çusu
Part,Part
rtiy,rtiy
dinl,dınl
tdek,tdək
qayg,qayğ
aygi,ayğı
dand,dand
gord,görd
ordu,ördü
"200,","200,"
"00,0","00,0"
etse,etsə
tsen,tsən
oruy,oruy
baxa,baxa
axar,axar
aram,aram
ecib,eçib
oyun,oyun
yunl,yunl
xall,xall
alli,allı
quzu,quzu
yiri,yırı
qqim,qqım
ldum,ldum
Butu,Bütü
sumu,sümü
umuk,ümük
mukl,mükl
ukle,üklə
ynaq,ynaq
naql,naql
Koks,Köks
oksu,öksü
ksum,ksüm
sumd,sümd
Yafo,Yafo
afoy,afoy
foya,foya
Pete,Pete
eter,eter
Lodd,Lodd
side,şidə
tdil,tdil
Vaxt,Vaxt
nimi,nımı
Budu,Budu
qinl,qınl
Siya,Siya
hiya,hıya
icma,icma
cman,cman
rdiy,rdiy
musu,musu
ekis,əkis
Muqe,Müqə
seke,şəkə
ekel,əkəl
lant,lant
yedd,yedd
eddi,eddi
yetm,yetm
Yeri,Yeri
gelm,gəlm
elmi,elmi
misk,mişk
Stef,Stef
tefa,tefa
efan,efan
fana,fana
vind,vind
kile,kilə
veft,vəft
efti,əfti
ftiz,ftiz
Olke,Ölkə
vbed,vbəd
bede,bədə
zenc,zənc
enci,ənci
ncir,ncir
nteq,ntəq
eqra,eqra
yenl,yənl
rerk,rərk
zari,zarı
lbed,lbed
edic,edic
reqa,rəqa
eqab,əqab
qabe,qabə
abet,abət
bete,bətə
eted,ətəd
teda,teda
edav,ədav
vaml,vaml
rent,rent
enta,enta
ntab,ntab
tabe,tabe
abel,abel
bell,bəll
Prem,Prem
remi,rəmi
emiu,emiu
mium,mium
coxd,çoxd
oxdu,oxdu
xdur,xdur
Goru,Görü
usde,üşdə
rixe,rixə
ixen,ixən
kokl,kökl
okle,öklə
Mera,Məra
erak,ərak
rake,rakə
akes,akəs
stlu,stlu
tlug,tluğ
Xeya,Xəya
medo,mədo
nufu,nüfu
ufuz,üfuz
fuzl,fuzl
libi,libi
ibid,ibid
bidi,bidi
Pads,Padş
alam,alam
Naza,Naza
bizd,bizd
zden,zdən
irse,irsə
bers,bərs
rsiz,rsiz
mats,mats
atsi,atsı
ugum,uğum
yukl,yükl
olum,ölüm
lumd,lumd
dond,dönd
soyk,söyk
oyke,öykə
yken,ykən
kene,kənə
nere,nərə
yeqi,yəqi
cidd,cidd
ddiy,ddiy
diye,diyə
Indi,İndi
sema,səma
emav,əmav
mavi,mavi
stum,stum
tumu,tumu
orts,örts
rtsu,rtsü
tsun,tşün
sret,srət
kere,kərə
nley,nləy
axtd,axtd
xtda,xtda
Eliz,Eliz
izav,izav
zave,zave
usag,uşağ
cixm,çıxm
ixma,ıxma
xmad,xmad
aciq,açıq
ciql,çıql
qlan,qlan
kesb,kəsb
ubah,übah
bahi,bahi
hise,hisə
dogu,doğu
ogur,oğur
gura,ğura
2014,2014
014-,014-
14-c,14-c
esim,əsim
Icra,İcra
Haki,Haki
Sura,Şura
Qirm,Qırm
rmiz,rmız
cugu,çuğu
sufr,süfr
ufre,üfrə
frel,frəl
qida,qida
idal,idal
qdad,qdad
Ilya,İlya
Idri,İdri
riso,riso
isov,isov
oxuc,oxuc
xuci,xuci
ucis,ucis
nizl,nizl
lqim,lqım
qari,qarı
risd,rışd
Muse,Müsə
used,uşəd
sedd,sədd
ddin,ddin
sdul,şdul
dula,dula
yan-,yan-
an-y,an-y
n-ya,n-ya
-yan,-yan
uzul,üzül
zulm,zulm
bes-,beş-
es-a,eş-a
s-al,ş-al
-alt,-alt
qazm,qazm
zmad,zmad
user,üşər
erge,ərgə
Qacq,Qaçq
acqi,açqı
cqin,çqın
qink,qınk
inko,inko
nkom,nkom
drin,drin
kock,köçk
ocku,öçkü
ckun,çkün
mesl,məsl
sleh,sləh
lehe,ləhə
Pulu,Pulu
clem,cləm
xeyi,xeyi
yirx,yirx
irxa,irxa
rxah,rxah
xahl,xahl
gezi,gəzi
ezib,əzib
ibli,ibli
blis,blis
tezy,təzy
ezyi,əzyi
zyiq,zyiq
yiqi,yiqi
qine,qinə
lanl,lanl
altd,altd
mulk,mülk
ulki,ülki
sled,şləd
2009,2009
009-,009-
09-c,09-c
9-cu,9-cu
avqu,avqu
vqus,vqus
qust,qust
gizi,ğızı
izir,izir
rutb,rütb
utbe,ütbə
tbes,tbəs
lism,lışm
Ruhu,Ruhu
uhun,uhun
teki,təki
ekid,əkid
kidi,kidi
lmir,lmir
mire,mirə
suqu,süqu
uqut,üqut
qutu,qutu
ixin,ixin
xine,xinə
meyd,meyd
sank,sank
anki,ankı
sept,sept
eptl,eptl
ptle,ptlə
tesh,təsh
eshi,əshi
shih,shih
hihl,hihl
ihle,ihlə
Sayt,Sayt
aytl,aytl
ytla,ytla
tert,tərt
tibi,tibi
tera,tera
ltim,ltim
time,time
imed,imed
disk,disk
plat,plat
latf,latf
atfo,atfo
tfor,tfor
biql,biql
must,müst
klif,klif
Tibb,Tibb
muay,müay
uayi,üayi
mual,müal
uali,üali
lice,licə
llig,llığ
taql,taql
hemc,həmç
emci,əmçi
mcin,mçin
mert,mərt
erte,ərtə
rteb,rtəb
tebe,təbə
sase,sasə
asen,asən
ceza,cəza
ezac,əzaç
zace,zaçə
acek,açək
cekm,çəkm
ekme,əkmə
kuml,kuml
umla,umla
psix,psix
sixo,sixo
ixol,ixol
xolo,xolo
seds,səds
nar-,nar-
ar-t,ar-t
r-te,r-tə
-ter,-tər
erni,ərni
rnin,rnın
ninq,ninq
inql,inql
nqle,nqlə
1275,1275
rqli,rqli
zlem,zləm
miri,miri
cird,çird
Ilin,İlin
slas,slaş
limp,limp
impi,impi
mpiy,mpiy
piya,piya
sahm,şahm
ahma,ahma
hmat,hmat
esqc,əşqç
sqci,şqçi
ogla,oğla
glan,ğlan
tsis,tsis
nomi,nomi
rinc,rinc
ncis,ncis
eksl,eksl
ksli,ksli
Bey-,Bəy-
ey-g,ey-g
y-ge,y-gə
-gel,-gəl
seda,səda
edas,ədas
send,sənd
elme,əlmə
lmey,lməy
yece,yəcə
Logi,Logi
ogis,ogis
kezl,kəzl
oyul,oyul
yulu,yulu
zona,zona
onas,onas
lebi,ləbi
deqi,dəqi
qiql,qiql
qles,qləş
exni,exni
xnik,xnik
niki,niki
iki-,iki-
ki-i,ki-i
i-iq,i-iq
-iqt,-iqt
zeru,zəru
erur,ərur
ruri,ruri
urid,urid
prio,prio
tetd,tetd
Sozu,Sözü
mpon,mpon
pone,pone
onen,onen
nent,nent
tavi,tavi
12:3,12:3
2:39,2:39
Kras,Kras
rasn,rasn
asno,asno
snoq,snoq
noqo,noqo
oqor,oqor
emes,əməs
dami,damı
Telm,Telm
elma,əlma
lovu,lovu
stes,stəs
kill,kill
Mehm,Mehm
ehma,ehma
hman,hman
Keri,Kəri
rimo,rimo
imov,imov
mova,mova
Heya,Həya
rdis,rdiş
vgiy,vgiy
giyl,ğıyl
iyle,iylə
Deme,Demə
apib,apıb
1995,1995
995-,995-
95-c,95-c
steq,stəq
teqi,təqi
eqil,əqil
Hikm,Hikm
elbi,əlbi
lbin,lbin
konl,könl
nlun,nlün
Hede,Hədə
erhi,ərhi
defl,dəfl
nala,nala
tire,tirə
irec,irəc
uyac,uyac
Rats,Rats
tsiy,tsiy
otag,otağ
qizl,qızl
okmd,ökmd
kmda,kmda
qalx,qalx
alxa,alxa
lxac,lxac
rusu,rüşü
otar,otar
rjid,rjid
jide,jidə
arif,arif
rifl,rifl
smal,şmal
idxa,idxa
otek,otek
teks,teks
ksio,ksio
ioni,ioni
oniz,oniz
xild,xild
ndel,ndəl
Sazi,Sazi
zise,zişə
stad,stad
desr,dəsr
AZeR,AZƏR
ZeRT,ZƏRT
eRTA,ƏRTA
RTAC,RTAC
jurn,jurn
urna,urna
rnal,rnal
nali,nali
qlam,qlam
Niya,Niya
Sefe,Səfə
fero,fəro
Yasa,Yaşa
Komp,Komp
menz,mənz
nzil,nzil
Menz,Mənz
nsaa,nşaa
aati,aatı
edis,ediş
disi,disi
elev,elev
levi,ləvi
eviz,eviz
vizi,vizi
iziy,iziy
Xebe,Xəbə
suje,süje
ujet,üjet
jeti,jeti
nize,nizə
qubu,qubu
Rehi,Rəhi
ehil,əhil
hile,hilə
Yusi,Yusi
usif,usif
Biny,Biny
inya,inya
nyam,nyam
yami,yami
Dogr,Doğr
grud,ğrud
rudu,rudu
XVII,XVII
VIII,VIII
esrd,əsrd
srde,srdə
nber,nber
Seki,Şəki
kahi,kahi
axib,axıb
sayd,sayd
ydiq,ydıq
sepm,səpm
epme,əpmə
eris,əriş
yili,yılı
lirs,lirs
hine,hinə
ters,tərs
1736,1736
736-,736-
36-c,36-c
6-ci,6-cı
Nadi,Nadi
xani,xanı
elan,elan
efev,əfəv
fevi,fəvi
yuld,yuld
orcl,orcl
rcla,rcla
clar,clar
Card,Card
rdaq,rdaq
daql,daql
huzu,hüzu
uzur,üzur
ecec,eçəc
cece,çəcə
Neqd,Nəqd
puld,puld
ldan,ldan
hibl,hibl
ible,iblə
baha,baha
ahal,ahal
ezek,əzək
seyl,şeyl
eri-,əri-
ri-u,ri-ü
i-uz,i-üz
-uzu,-uzu
uzuk,üzük
lerz,lərz
rzik,rzik
yunb,yunb
unba,unba
nbag,nbağ
palt,palt
alta,alta
ltar,ltar
tikm,tikm
kmek,kmək
parc,parç
arca,arça
yaqq,yaqq
qqab,qqab
qabi,qabi
culu,culu
guzk,güzk
uzku,üzkü
RAGB,RAGB
AGB-,AGB-
GB-n,GB-n
B-ni,B-ni
bizi,bizi
izim,izim
Pola,Pola
olad,olad
edeh,ədəh
dehl,dəhl
visk,visk
iski,iski
suzd,suzd
uzdu,üzdü
birc,birc
irce,ircə
Yaxs,Yaxş
dinc,dinc
Yaxi,Yaxı
sill,sill
isig,işığ
siga,şığa
Nurl,Nurl
imir,ımır
tmir,tmir
Evin,Evin
alxm,alxm
lxma,lxma
xmaq,xmaq
yeme,yemə
Gozl,Gözl
acma,açma
cmaq,çmaq
cehd,cəhd
ehdi,əhdi
hdin,hdin
dind,dind
kece,keçə
cere,cərə
ikre,ikrə
kren,krən
Qeri,Qəri
beyd,bəyd
eydi,eydi
yuma,yuma
peyd,peyd
ldul,ldul
Odem,Ödəm
tdig,tdığ
pens,pens
ensi,ensi
fond,fond
defi,dəfi
efis,efis
fisi,fisi
isit,isit
siti,siti
ompe,ompe
mpen,mpen
ensa,ensa
nsas,nsas
ifem,ifəm
femi,fəmi
ndin,ndin
Arsi,Arşı
yirb,yirb
irbe,irbə
rbey,rbəy
yovu,yovu
oper,oper
pere,pərə
rett,rett
ttas,ttas
ezmu,əzmu
zmun,zmun
munu,munu
qtib,qtib
ibas,ibas
muse,müsə
senn,şenn
nnif,nnif
nifi,nifi
ifin,ifin
lifi,lifi
biiz,biiz
iizn,iizn
azes,azəs
zesi,zəsi
esiz,əsiz
nibd,nıbd
pulu,pulu
Alti,Altı
arar,arar
bugu,bugü
gunk,günk
unku,ünkü
unes,ünəş
nesi,nəsi
ldiy,ldiy
erih,erih
riha,riha
ihaq,ihaq
1992,1992
992-,992-
92-1,92-1
2-19,2-19
-199,-199
1997,1997
997-,997-
Olim,Olim
iyet,iyət
Gunl,Günl
Qaci,Qaçı
acis,acıs
Cina,Cina
inay,inay
okmu,ökmü
kmun,kmün
habe,habe
inst,inst
nsta,nsta
craa,craa
raat,raat
arxi,arxi
rxiv,rxiv
xivi,xivi
Dedi,Dedi
netl,nətl
mehr,məhr
ehri,ehri
hrib,hrib
riba,riba
iban,iban
huss,huşs
ussu,uşsu
ssuz,şsuz
suzl,suzl
uzla,uzla
duzg,düzg
uzgu,üzgü
zgun,zgün
rpao,rpao
paol,paol
aolu,aolu
qurg,qurğ
eet-,əət-
et-z,ət-z
t-ze,t-zə
-zer,-zər
lill,lill
ekey,əkəy
keye,kəyə
ilki,ilki
rjis,rjis
jisi,jisi
tran,tran
ansf,ansf
nsfo,nsfo
sfor,sfor
rmat,rmat
mato,mato
ente,əntə
teqe,təqə
eqes,əqəs
rims,rıms
imst,ımst
msta,msta
maks,maks
ksim,ksim
simu,simu
imum,imum
neml,nəml
zenl,zənl
nlem,nləm
runc,rünc
unce,üncə
ncem,ncəm
ceme,çəmə
kald,kald
bazi,bazi
harf,harf
arfl,arfl
rfle,rflə
rahm,rahm
ahme,ahmə
Prof,Prof
Sadr,Şadr
adri,adri
Maks,Maks
aksu,aksu
ksud,ksud
sudi,sudi
Arsa,Arsa
rsal,rsal
bahs,bahs
ahse,ahse
setm,setm
faka,faka
isil,işil
mutl,mütl
tlak,tlak
kalm,kalm
alms,alms
lmsi,lmsi
fark,fark
rkli,rkli
klil,klil
usma,uşma
smas,şmas
kotu,kötü
ygul,yğul
ulad,ulad
Haqq,Haqq
Ozun,Özün
zuhu,zühu
uhur,ühur
Kece,Keçə
sohr,şöhr
hret,hrət
glun,ğlun
Oxsa,Oxşa
xsar,xşar
qudv,qudv
udvi,udvi
dvil,dvil
ruld,rüld
lduy,ldüy
aitl,aitl
upun,upun
punu,punu
dusm,düşm
smey,şməy
xlan,xlan
pund,pund
abaq,abaq
Qarb,Qarb
arba,arba
rbag,rbağ
bagd,bağd
agdi,ağdı
gdir,ğdır
vand,vand
Sirv,Şirv
irva,irva
rvan,rvan
nceb,ncəb
ceba,cəba
ebas,əbaş
asar,aşar
sard,şard
xanl,xanl
gidi,ğıdı
Kusl,Kuşl
uslu,üslu
oavi,oavı
qacd,qaçd
Daga,Dağa
xuna,xuna
Kend,Kənd
Alma,Alma
aniy,aniy
niya,niya
Cemi,Cəmi
sirs,şırs
niss,nişs
ssin,ssin
90.3,90.3
0.3.,0.3.
.3.2,.3.2
3.20,3.20
.20.,.20.
20.4,20.4
herr,hərr
erra,ərra
rrac,rrac
tutm,tutm
utma,utma
tmad,tmad
ri-a,rı-a
i-ay,ı-ay
-ayr,-ayr
emla,əmla
mlak,mlak
kutl,kütl
utle,ütlə
tlev,tləv
info,info
.3.5,.3.5
derc,dərc
pard,pard
qare,qare
25.4,25.4
25.1,25.1
quqi,quqi
Qirt,Qırt
glim,ğlım
lima,lima
hard,hard
zima,zima
amam,amam
isda,ışda
sdan,şdan
benz,bənz
enze,ənzə
nzet,nzət
zetm,zətm
acam,acam
vide,vide
ideo,ideo
deok,deok
eoka,eoka
okam,okam
kame,kame
amer,amer
mera,məra
ompu,ompü
mput,mpüt
pute,püte
uter,üter
foto,foto
otob,otob
tobl,tobl
obla,obla
retc,rətç
bitu,bitu
itur,itur
uriy,uriy
iyen,iyən
yent,yent
hand,hand
idey,idey
deya,deya
tesv,təsv
esvi,əsvi
svir,svir
rdug,rduğ
duga,duga
ugah,ugah
gaha,gaha
cemd,cəmd
mdey,mdəy
qovu,qovu
ovur,ovur
urga,urğa
salx,salx
alxi,alxı
lxim,lxım
silm,silm
vasa,vaşa
